market,week_idx,eval_start,eval_start_ts,method,revenue,soc_end,score,pf_score,value_capture,theta,sigma_stat,mu_eff,q,mask_violations
CISO_shape,0,8760,2024-02-20 08:00:00,dp,18702.9685,0.0,18702.9685,21037.71179490011,0.8890210438444122,0.013305966475412106,37.03092862409754,-14.513296597014397,55.042351836757994,0
CISO_shape,1,8928,2024-02-27 08:00:00,dp,12289.44725,20.0,13368.499306735159,15086.761202119009,0.8861079676171641,0.01074708066791746,40.15767674372266,-14.503288120877803,53.95260283675799,0
CISO_shape,2,9096,2024-03-05 08:00:00,dp,17157.341499999995,0.0,17157.341499999995,20578.011264286524,0.8337706340834229,0.012314726508563406,35.8736967952038,-13.200480797481339,52.80890278196347,0
CISO_shape,3,9264,2024-03-12 08:00:00,dp,24828.208250000003,20.0,25866.07045212329,28461.07854453339,0.9088225666378152,0.012547789222928906,35.54708554431248,-8.27967985461772,51.893110106164386,0
CISO_shape,4,9432,2024-03-19 08:00:00,dp,21048.445500000005,20.0,22071.10397294521,24965.014532812504,0.8840813588927131,0.013136080409479566,35.775336472785895,-8.222983987035985,51.13292364726027,0
CISO_shape,5,9600,2024-03-26 08:00:00,dp,18795.197,23.75,19991.14196822774,22311.207622910966,0.896013443382563,0.01210170608369888,38.412492321614664,-7.616584456174726,50.35557760958904,0
CISO_shape,6,9768,2024-04-02 08:00:00,dp,13382.61475,23.75,14561.959286111587,17872.116864329335,0.814786485375751,0.01,42.886576149529084,-4.058868137961071,49.65661204680366,0
CISO_shape,7,9936,2024-04-09 08:00:00,dp,19848.006749999997,23.75,21012.410271619574,23924.711732353022,0.8782722444761921,0.011627421764987432,40.27363422987233,-6.231620267911918,49.027516699771695,0
CISO_shape,8,10104,2024-04-16 08:00:00,dp,27266.69,23.75,28419.394647091893,30179.529347639844,0.9416778611663272,0.019646379904176035,29.68117122571275,-6.578046226525439,48.53493250913242,0
CISO_shape,9,10272,2024-04-23 08:00:00,dp,27720.952,20.0,28680.126569634704,30971.307937571342,0.9260224536672795,0.019569676558220738,29.431736243069054,-7.828286460131022,47.95872848173516,0
CISO_shape,10,10440,2024-04-30 08:00:00,dp,21413.753999999994,17.5,22242.119474560495,24777.484110082758,0.8976746539617175,0.01,43.943243019928055,-7.223186165739049,47.335169974885844,0
CISO_shape,11,10608,2024-05-07 08:00:00,dp,23138.607250000005,25.0,24321.850617751144,26409.671460679234,0.9209448384832579,0.01888997691559778,33.0217079906671,1.7035297915417045,47.329734710045656,0
CISO_shape,12,10776,2024-05-14 08:00:00,dp,24312.191749999994,22.5,25381.317056729447,27086.72597691781,0.9370389421873415,0.018915698147473202,31.672974229800715,2.3205734173997143,47.51668029908676,0
CISO_shape,13,10944,2024-05-21 08:00:00,dp,29045.902499999997,23.75,30171.1129084589,32605.958131609586,0.9253251441554713,0.01607690659483978,32.759939257841694,-1.4276828567890565,47.377280356164384,0
CISO_shape,14,11112,2024-05-28 08:00:00,dp,21010.414000000004,22.5,22073.331746309937,24284.38723523973,0.9089515635082087,0.015156138210050707,33.49193258141586,-5.395350040862473,47.240788724885846,0
CISO_shape,15,11280,2024-06-04 08:00:00,dp,20235.68049999999,22.5,21299.186870684924,23142.924982739725,0.9203325373335529,0.010107354106823266,40.50425027467796,-0.6418386937267216,47.26694980821918,0
CISO_shape,16,11448,2024-06-11 08:00:00,dp,21760.421250000003,18.75,22643.101342294525,24800.1901930137,0.9130212779042786,0.010684938351131313,39.451099717068345,0.8378939657496169,47.0762715890411,0
CISO_shape,17,11616,2024-06-18 08:00:00,dp,17473.84075,22.5,18531.509729109588,19979.723911872145,0.9275158060666687,0.011790037752327653,37.99169859383881,-0.3679039351901636,47.0075101826484,0
CISO_shape,18,11784,2024-06-25 08:00:00,dp,16525.6605,22.5,17585.759228655825,18815.344478655825,0.9346498677505031,0.01,39.83446801641576,4.166989541667845,47.11549905136986,0
CISO_shape,19,11952,2024-07-02 08:00:00,dp,32569.825500000006,22.5,33628.8886135274,38299.33688741439,0.878054069509967,0.013585715780112353,34.53505309846629,4.497871601544013,47.06947171232876,0
CISO_shape,20,12120,2024-07-09 08:00:00,dp,65127.20575,16.25,65895.0744342266,66921.04944336186,0.9846688744771764,0.016803837568236914,33.80962575264518,-8.229421843805445,47.253457490867575,0
CISO_shape,21,12288,2024-07-16 08:00:00,dp,21328.321249999997,0.0,21328.321249999997,22666.758741643833,0.9409515269960133,0.08042516184169071,36.140920639382344,-2.9563427527589567,47.39601073972603,0
CISO_shape,22,12456,2024-07-23 08:00:00,dp,36131.7425,16.25,36894.571710074204,38175.371740410956,0.9664495728019081,0.06914263164869186,39.28157478454722,-8.786714326647296,46.94333600456621,0
CISO_shape,23,12624,2024-07-30 08:00:00,dp,44695.431,5.0,44928.85351352739,46495.51849999999,0.966305032463019,0.0663321312541331,43.78062967042454,-4.006231039847283,46.68450270547945,0
CISO_shape,24,12792,2024-08-06 08:00:00,dp,21877.666750000004,43.75,23914.761088634423,25212.63256804795,0.9485229685590896,0.11920787293862187,35.90971541060022,-2.5657372536960996,46.56215631164383,0
CISO_shape,25,12960,2024-08-13 08:00:00,dp,11685.498500000002,0.0,11685.498500000002,14633.695912825342,0.7985336424654372,0.12767835835609348,36.23029897905122,-8.897242851943474,46.23622942808219,0
CISO_shape,26,13128,2024-08-20 08:00:00,dp,12246.582,1.25,12302.63732626427,14597.414762234588,0.8427956269416139,0.2254985836299986,27.673158008992072,-6.676245463435764,44.844261011415526,0
CISO_shape,27,13296,2024-08-27 08:00:00,dp,14304.970000000001,1.25,14360.52427924943,15956.751268210617,0.8999654151317615,0.21917887825647045,28.007064450848773,-7.5790640636873565,44.44342339954338,0
CISO_shape,28,13464,2024-09-03 08:00:00,dp,27156.344999999994,10.0,27597.844540273967,53865.36502308217,0.5123486033826717,0.2986916012235393,24.446421871724777,-4.40666140377354,44.14995402739726,0
CISO_shape,29,13632,2024-09-10 08:00:00,dp,2824.9137499999993,90.0,6811.856263424657,13236.65522287671,0.5146206612416578,0.3118189155792715,27.56276312061188,5.069424116593954,44.299361260273976,0
CISO_shape,30,13800,2024-09-17 08:00:00,dp,9109.251250000001,20.0,9987.34564627854,12480.352991859305,0.8002454460056614,0.31677597947915637,27.366625651724373,-5.762461119490136,43.90471981392694,0
CISO_shape,31,13968,2024-09-24 08:00:00,dp,9110.268500000002,66.25,12012.099029824487,14350.120349751713,0.8370730514488209,0.3267281020641143,27.06470668258318,-2.311347442673512,43.80121554452054,0
CISO_shape,32,14136,2024-10-01 08:00:00,dp,41640.44825000001,25.0,42735.709391495446,46141.98650000001,0.9261783601686814,0.22441099888880706,31.82397850615612,-0.7331984122369382,43.81044565981735,0
CISO_shape,33,14304,2024-10-08 08:00:00,dp,9291.219000000003,50.0,11486.743641552515,17587.767499999998,0.65310981860276,0.30906070211668263,28.229213585889795,-0.26937606887555804,43.910492831050234,0
CISO_shape,34,14472,2024-10-15 08:00:00,dp,1718.882,75.0,5009.736163356165,11577.445110228313,0.43271517296421635,0.28190894905543684,23.91052630924506,-7.836908856353953,43.878055511415525,0
CISO_shape,35,14640,2024-10-22 08:00:00,dp,5232.466749999998,25.0,6313.3414628710025,7966.862999999995,0.7924501102718857,0.2359642880609443,26.749619594387816,-11.153740384215824,43.234988514840175,0
CISO_shape,36,14808,2024-10-29 08:00:00,dp,4975.077000000002,8.75,5349.262478063643,9478.0015,0.5643871736107705,0.2561399284114645,29.595426213849137,-8.718847760605344,42.76405463584475,0
CISO_shape,37,14976,2024-11-05 08:00:00,dp,4520.0805,51.25,6684.178828059361,9168.135453767125,0.729066325619445,0.23231515934993646,34.08157896245849,-7.362116361279371,42.22630884018265,0
CISO_shape,38,15144,2024-11-12 08:00:00,dp,3144.8559999999998,51.25,5293.134181382705,8192.261,0.6461139582079605,0.22509644673813986,28.969462424063398,-5.281384016388684,41.91762305136986,0
CISO_shape,39,15312,2024-11-19 08:00:00,dp,814.95675,5.0,1022.5611306449773,5940.808845161245,0.17212490037915418,0.2503085752901926,26.525542520192523,-1.2516868989166146,41.52087612899544,0
CISO_shape,40,15480,2024-11-26 08:00:00,dp,5224.068000000001,12.5,5743.089996247148,8686.904,0.6611204631992189,0.1596455008919378,27.145791542678772,6.000102890483714,41.52175969977169,0
CISO_shape,41,15648,2024-12-03 08:00:00,dp,-2956.8627500000002,100.0,1162.4556441780824,7146.291250000002,0.1626655846384769,0.1628649989052093,23.736384292758608,2.075413969189338,41.19318394178082,0
CISO_shape,42,15816,2024-12-10 08:00:00,dp,2976.455500000002,1.25,3027.7491182034837,5672.151749999999,0.5337919808304642,0.13232287013881117,20.422352616019896,-3.4759373077606646,41.03489456278538,0
CISO_shape,43,15984,2024-12-17 08:00:00,dp,2408.760249999999,16.25,3073.308828216323,5497.324999999998,0.5590553274940674,0.11974212680349376,21.40737292439073,-1.5127452870457387,40.89529712100456,0
CISO_shape,44,16152,2024-12-24 08:00:00,dp,-4247.4039999999995,100.0,-165.00224726027363,4479.457328638699,-0.036835320699531604,0.10468294032412707,21.948959989863038,-4.160277384791629,40.82401752739726,0
CISO_shape,45,16320,2024-12-31 08:00:00,dp,-2040.7907499999997,90.0,1618.2699203082193,8158.739482138984,0.19834803205212234,0.05842297747102481,28.59480034630093,-8.927876682492004,40.65622967009132,0
CISO_shape,46,16488,2025-01-07 08:00:00,dp,10691.967750000002,22.5,11600.242112054795,14547.656499999997,0.7973959319189862,0.04487782438212994,21.219884024144847,-16.476571743388927,40.36774942465753,0
CISO_shape,47,16656,2025-01-14 08:00:00,dp,16111.022500000003,8.75,16452.640365492298,20259.333500000004,0.8121017587025898,0.13332057770482103,15.00244469221098,-9.736813273974935,39.04204177054794,0
CISO_shape,48,16824,2025-01-21 08:00:00,dp,15603.1535,22.5,16459.476749323632,18672.053,0.8815033220676716,0.1461638338934714,14.457686656387033,3.4885336428814377,38.05881108105023,0
CISO_shape,49,16992,2025-01-28 08:00:00,dp,10946.759750000001,1.25,10994.327371210047,14022.508500000002,0.7840485438971241,0.11808478270978606,14.992937149783332,1.7006013129430435,38.05409696803654,0
CISO_shape,50,17160,2025-02-04 08:00:00,dp,23738.03175,0.0,23738.03175,25014.13352256849,0.9489847700933892,0.054376484548780184,11.905771900341856,1.5104872824633373,38.11920225684931,0
CISO_shape,51,17328,2025-02-11 08:00:00,dp,26258.755,0.0,26258.755,26727.818250000008,0.9824503726562116,0.06406359836558898,10.607024452840182,4.367735485382306,38.1262256586758,0
CISO_shape,52,17496,2025-02-18 08:00:00,dp,19335.258249999995,23.75,20239.767729501993,21727.9455,0.9315085832437305,0.07879831128304708,10.490776587452252,2.0981100254591745,38.084609663242006,0
CISO_shape,53,17664,2025-02-25 08:00:00,dp,26589.98624999999,23.75,27496.63211588184,29141.314249999996,0.9435618407595273,0.08867300675872782,10.594993058737572,-0.1527698122425905,38.1745627739726,0
CISO_shape,54,17832,2025-03-04 08:00:00,dp,28585.57325,23.75,29492.119137708334,33037.48275,0.8926866299372742,0.04191559374583705,16.307772512440003,-1.9173782545496998,38.170353166666665,0
